antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'Wind_Chill(F)_2'}),frozenset({'Pressure(in)_2'}),0.3722184841639833,0.6307973278223675,0.2478252511174124,0.6658058684915588,1.0554988728155323,0.01303082594067953,1.1047551030030789,0.08375637341540675
frozenset({'Pressure(in)_2'}),frozenset({'Wind_Chill(F)_2'}),0.6307973278223675,0.3722184841639833,0.2478252511174124,0.39287619047619043,1.0554988728155323,0.01303082594067953,1.0340255249228485,0.14241690818086397
frozenset({'Wind_Chill(F)_2'}),frozenset({'Temperature(F)_1'}),0.3722184841639833,0.3432018070841544,0.23445234776757823,0.6298783046579941,1.8353000819239438,0.10670629137237447,1.7745465915175285,0.7249814853537454
frozenset({'Temperature(F)_1'}),frozenset({'Wind_Chill(F)_2'}),0.3432018070841544,0.3722184841639833,0.23445234776757823,0.6831326144797648,1.835300081923944,0.10670629137237447,1.9812121553795146,0.6929525396650051
frozenset({'Part_of_Day_Afternoon (12-17)'}),frozenset({'Pressure(in)_2'}),0.3488249146921709,0.6307973278223675,0.21700629595809104,0.6221066409479196,0.9862226954821609,-0.003031528107595688,0.9770022767898119,-0.021002598425812504
frozenset({'Pressure(in)_2'}),frozenset({'Part_of_Day_Afternoon (12-17)'}),0.6307973278223675,0.3488249146921709,0.21700629595809104,0.3440190476190476,0.9862226954821608,-0.003031528107595688,0.9926737703958022,-0.03645818109214356
frozenset({'Temperature(F)_1'}),frozenset({'Pressure(in)_2'}),0.3432018070841544,0.6307973278223675,0.21022973037919931,0.6125542641086683,0.9710793579664047,-0.006261052433292946,0.9529145322202851,-0.04337724500082168
frozenset({'Pressure(in)_2'}),frozenset({'Temperature(F)_1'}),0.6307973278223675,0.3432018070841544,0.21022973037919931,0.33327619047619045,0.9710793579664045,-0.006261052433292946,0.985112851129386,-0.07464436785466887
frozenset({'Weather_Fair'}),frozenset({'Pressure(in)_2'}),0.29047916566540105,0.6307973278223675,0.2022276157062527,0.6961863004632693,1.1036608269515615,0.018994134216446912,1.2152272025277662,0.13237741264346306
frozenset({'Pressure(in)_2'}),frozenset({'Weather_Fair'}),0.6307973278223675,0.29047916566540105,0.2022276157062527,0.32059047619047615,1.1036608269515615,0.018994134216446912,1.0443198240087033,0.2543983002936013
